                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1737,                 1.2446,                 1.1505,                0.93599,                0.67568,                 0.7622,                0.55279,                    nan,                    nan,                    nan,             0.00033297,             0.00033297,             0.00033297
                      2,                 1.0217,                 1.0379,                 1.0779,                0.93905,                0.72251,                0.77055,                0.59665,                    nan,                    nan,                    nan,             0.00063332,             0.00063332,             0.00063332
                      3,                 1.0105,                0.99652,                 1.0759,                 0.8538,                0.74032,                0.76196,                0.59337,                    nan,                    nan,                    nan,             0.00090068,             0.00090068,             0.00090068
                      4,                 0.9709,                 0.9326,                 1.0621,                0.89341,                0.75739,                0.76914,                0.59507,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                      5,                0.93648,                0.87965,                   1.05,                0.88087,                0.71816,                0.77971,                0.60856,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                      6,                 0.9102,                0.82164,                 1.0351,                0.97364,                0.73833,                0.78802,                 0.6447,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                      7,                0.86985,                0.75892,                 1.0074,                0.97086,                0.77612,                0.78736,                0.63833,                    nan,                    nan,                    nan,              0.0007525,              0.0007525,              0.0007525
                      8,                0.83906,                0.72558,                0.99507,                0.95682,                0.77236,                0.78517,                0.63567,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                      9,                0.81936,                0.69528,                0.98742,                0.98551,                0.77346,                0.78658,                0.64734,                    nan,                    nan,                    nan,              0.0006535,              0.0006535,              0.0006535
                     10,                0.79568,                0.67045,                0.98062,                0.95409,                0.77462,                  0.796,                 0.6628,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                     11,                0.73358,                0.54164,                0.95208,                0.91378,                0.77418,                0.77989,                0.64578,                    nan,                    nan,                    nan,              0.0005545,              0.0005545,              0.0005545
                     12,                0.72928,                0.51309,                0.95169,                0.96274,                0.75816,                0.79142,                0.66087,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     13,                0.71414,                0.49069,                0.94021,                0.95089,                0.76998,                0.79778,                0.68423,                    nan,                    nan,                    nan,              0.0004555,              0.0004555,              0.0004555
                     14,                0.68921,                0.47012,                 0.9321,                0.95724,                0.77171,                0.80408,                0.68264,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                     15,                0.66576,                0.45126,                0.92291,                0.97113,                 0.7713,                0.79966,                0.67421,                    nan,                    nan,                    nan,              0.0003565,              0.0003565,              0.0003565
                     16,                0.65214,                0.42897,                0.91634,                0.96966,                0.77278,                0.80114,                0.68503,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                     17,                0.64083,                0.40466,                 0.9105,                0.96801,                0.75737,                0.79909,                0.70298,                    nan,                    nan,                    nan,              0.0002575,              0.0002575,              0.0002575
                     18,                0.62647,                0.39465,                0.90851,                0.96981,                0.76949,                0.80433,                0.70372,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     19,                0.59981,                0.38044,                0.89413,                0.98471,                0.76265,                 0.8024,                0.70172,                    nan,                    nan,                    nan,              0.0001585,              0.0001585,              0.0001585
                     20,                0.59016,                0.36852,                0.89013,                0.97334,                 0.7722,                0.80879,                0.72434,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
